token,count
food,1256
state,805
city,761
city state,736
chef,714
company,700
kitchen,587
management,467
service,454
staff,419
customer,360
skills,357
culinary,352
company city,335
quality,323
team,313
training,311
high,305
menu,298
restaurant,284
experience,273
work,271
ï¼,271
new,270
executive,270
inventory,269
ï¼ city,260
sales,254
daily,250
safety,240
maintained,240
items,236
cooking,222
development,217
preparation,216
control,214
cost,214
including,201
executive chef,198
company ï¼,197
