filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/More/students_federalresume.pdf,More,1,0,leadership,
/home/droski/Desktop/School/Fall25/Capstone/data/More/students_resumewritingpacket.pdf,More,15,0,"adaptability, communication, designed, implemented, leadership, manager, r",
